name,BLEU,chrF++,TER,BERT (P),BERT (R),BERT (F1),COMET
deepl_quality_optimized,44.47,63.08,47.07,69.48,69.94,69.68,67.44
mistral_medium,44.85,64.1,45.22,71.26,73.08,72.13,66.65
mistral7b_v1_1,32.25,51.48,63.67,56.81,57.48,57.1,13.98
mistral7b_v1_2,34.19,52.49,62.09,57.13,57.38,57.21,13.59
mistral7b_v1_3,32.9,51.43,64.8,55.52,56.45,55.94,8.25
mistral7b_v1_best,37.14,55.65,56.82,60.94,61.29,61.07,25.64
mistral7b_v2_1,33.39,53.02,64.19,56.34,58.2,57.21,13.49
mistral7b_v2_2,32.65,53.03,65.03,55.6,58.15,56.81,12.39
mistral7b_v2_best,39.03,56.97,54.82,63.92,63.32,63.57,33.31
mistral7b_v3_1,32.15,51.44,64.79,55.48,56.64,56.01,8.99
mistral7b_v3_2,32.15,51.44,64.79,55.48,56.64,56.01,8.99
mistral7b_v3_best,33.11,53.04,63.08,56.95,58.34,57.6,13.97
mistral7b_instruct,26.79,53.64,75.72,60.97,63.71,62.2,32.16
